Date,NVDA_Close,QUBT_Close,GSPC_Close,NVDA_High,QUBT_High,GSPC_High,NVDA_Low,QUBT_Low,GSPC_Low,NVDA_Open,QUBT_Open,GSPC_Open,NVDA_Volume,QUBT_Volume,GSPC_Volume,NVDA_Return,QUBT_Return,GSPC_Return,NVDA_RollingVol,QUBT_RollingVol,GSPC_RollingVol,NVDA_Tomorrow,NVDA_Direction
2010-01-05,0.430073,220.000000,1136.520020,0.434658,220.000000,1136.630005,0.422279,190.000000,1129.660034,0.422279,190.000000,1132.660034,728648000,212,2491020000,0.014602,0.157895,0.003116,0.023311,0.112394,0.007938,0.432824,1
2010-01-06,0.432824,194.000000,1137.140015,0.433741,220.000000,1139.189941,0.425718,190.000000,1133.949951,0.429844,220.000000,1135.709961,649168000,99,4972660000,0.006397,-0.118182,0.000546,0.023311,0.112394,0.007938,0.424342,0
2010-01-07,0.424342,200.000000,1141.689941,0.432366,200.000000,1142.459961,0.421133,190.000000,1131.319946,0.430532,194.000000,1136.270020,547792000,137,5270680000,-0.019597,0.030928,0.004001,0.023311,0.112394,0.007938,0.425259,1
2010-01-08,0.425259,190.000000,1144.979980,0.428239,200.000000,1145.390015,0.418382,190.000000,1136.219971,0.420903,200.000000,1140.520020,478168000,70,4389590000,0.002161,-0.050000,0.002882,0.023311,0.112394,0.007938,0.419299,0
2010-01-11,0.419299,194.000000,1146.979980,0.429386,200.000000,1149.739990,0.413338,194.000000,1142.020020,0.427552,194.000000,1145.959961,556612000,37,4255780000,-0.014016,0.021053,0.001747,0.023311,0.112394,0.007938,0.405085,0
2010-01-12,0.405085,200.000000,1136.219971,0.414714,200.000000,1143.810059,0.396374,190.000000,1131.770020,0.413109,200.000000,1143.810059,627432000,56,4716160000,-0.033898,0.030928,-0.009381,0.023311,0.112394,0.007938,0.410587,1
2010-01-13,0.410587,190.000000,1145.680054,0.411963,204.000000,1148.400024,0.392018,190.000000,1133.180054,0.407836,190.000000,1137.310059,508868000,229,4170360000,0.013582,-0.050000,0.008326,0.023311,0.112394,0.007938,0.404168,0
2010-01-14,0.404168,200.000000,1148.459961,0.408524,200.000000,1150.410034,0.397291,194.000000,1143.800049,0.405544,200.000000,1145.680054,608524000,139,3915200000,-0.015634,0.052632,0.002426,0.023311,0.112394,0.007938,0.392247,0
2010-01-15,0.392247,198.000000,1136.030029,0.404627,200.000000,1147.770020,0.386974,194.000000,1131.390015,0.401188,198.000000,1147.719971,818192000,115,4758730000,-0.029495,-0.010000,-0.010823,0.023311,0.112394,0.007938,0.399583,1
2010-01-19,0.399583,206.000000,1150.229980,0.402105,220.000000,1150.449951,0.388121,200.000000,1135.770020,0.389267,200.000000,1136.030029,545328000,339,4724830000,0.018702,0.040404,0.012500,0.023311,0.112394,0.007938,0.397978,0
2010-01-20,0.397978,218.000000,1138.040039,0.399583,220.000000,1147.949951,0.389267,210.000000,1129.250000,0.394540,220.000000,1147.949951,719728000,162,4810560000,-0.004016,0.058252,-0.010598,0.023311,0.112394,0.007938,0.390872,0
2010-01-21,0.390872,224.000000,1116.479980,0.404856,230.000000,1141.579956,0.387204,214.000000,1114.839966,0.397749,220.000000,1138.680054,608632000,561,6874290000,-0.017857,0.027523,-0.018945,0.023311,0.112394,0.007938,0.377346,0
2010-01-22,0.377346,238.000000,1091.760010,0.393393,238.000000,1115.489990,0.375053,220.000000,1090.180054,0.386287,224.000000,1115.489990,1067916000,376,6208650000,-0.034604,0.062500,-0.022141,0.023311,0.112394,0.007938,0.383765,1
2010-01-25,0.383765,230.000000,1096.780029,0.391101,240.000000,1102.969971,0.380785,210.000000,1092.400024,0.383536,240.000000,1092.400024,643676000,80,4481390000,0.017011,-0.033613,0.004598,0.023311,0.112394,0.007938,0.371615,0
2010-01-26,0.371615,220.000000,1092.170044,0.384453,236.000000,1103.689941,0.371385,202.000000,1089.859985,0.381931,230.000000,1095.800049,714636000,186,4731910000,-0.031661,-0.043478,-0.004203,0.023311,0.112394,0.007938,0.381702,1
2010-01-27,0.381702,220.000000,1097.500000,0.383077,228.000000,1099.510010,0.367259,206.000000,1083.109985,0.371385,210.000000,1091.939941,812504000,18,5319120000,0.027144,0.000000,0.004880,0.023311,0.112394,0.007938,0.368864,0
2010-01-28,0.368864,202.000000,1084.530029,0.386057,220.000000,1100.219971,0.363591,196.000000,1078.459961,0.384682,206.000000,1096.930054,687764000,207,5452400000,-0.033634,-0.081818,-0.011818,0.023311,0.112394,0.007938,0.352816,0
2010-01-29,0.352816,220.000000,1073.869995,0.377117,220.000000,1096.449951,0.347314,210.000000,1071.589966,0.372990,210.000000,1087.609985,774700000,25,5412850000,-0.043505,0.089109,-0.009829,0.023311,0.112394,0.007938,0.379868,1
2010-02-01,0.379868,220.000000,1089.189941,0.380555,230.000000,1089.380005,0.351211,200.000000,1073.890015,0.354192,230.000000,1073.890015,949832000,95,4077610000,0.076673,0.000000,0.014266,0.023311,0.112394,0.007938,0.383765,1
2010-02-02,0.383765,204.000000,1103.319946,0.388579,230.000000,1104.729980,0.377346,202.000000,1087.959961,0.378492,220.000000,1090.050049,849812000,137,4749540000,0.010260,-0.072727,0.012973,0.023311,0.112394,0.007938,0.386974,1
2010-02-03,0.386974,210.000000,1097.280029,0.388579,240.000000,1102.719971,0.378492,204.000000,1093.969971,0.380326,240.000000,1100.670044,562296000,210,4285450000,0.008363,0.029412,-0.005474,0.023311,0.112394,0.007938,0.364508,0
2010-02-04,0.364508,210.000000,1063.109985,0.383536,232.000000,1097.250000,0.360381,204.000000,1062.780029,0.383536,228.000000,1097.250000,783480000,1142,5859690000,-0.058057,0.000000,-0.031141,0.023311,0.112394,0.007938,0.371844,1
2010-02-05,0.371844,192.000000,1066.189941,0.372761,210.000000,1067.130005,0.357630,190.000000,1044.500000,0.364049,210.000000,1064.119995,604856000,276,6438900000,0.020126,-0.085714,0.002897,0.023311,0.112394,0.007938,0.371156,0
2010-02-08,0.371156,192.000000,1056.739990,0.380097,210.000000,1071.199951,0.363820,192.000000,1056.510010,0.370698,204.000000,1065.510010,445160000,184,4089820000,-0.001850,0.000000,-0.008863,0.023311,0.112394,0.007938,0.368176,0
2010-02-09,0.368176,200.000000,1070.520020,0.378951,200.000000,1079.280029,0.364508,190.000000,1060.060059,0.377117,190.000000,1060.060059,930144000,62,5114260000,-0.008030,0.041667,0.013040,0.023311,0.112394,0.007938,0.375283,1
2010-02-10,0.375283,170.000000,1068.130005,0.378721,200.000000,1073.670044,0.367947,170.000000,1059.339966,0.370468,200.000000,1069.680054,535828000,154,4251450000,0.019303,-0.150000,-0.002233,0.023311,0.112394,0.007938,0.392476,1
2010-02-11,0.392476,180.000000,1078.469971,0.396603,190.000000,1080.040039,0.378492,170.000000,1060.589966,0.381243,190.000000,1067.099976,695980000,187,4400870000,0.045816,0.058824,0.009680,0.023311,0.112394,0.007938,0.397749,1
2010-02-12,0.397749,160.000000,1075.510010,0.405773,188.000000,1077.810059,0.385370,140.000000,1062.969971,0.389725,188.000000,1075.949951,780212000,385,4160680000,0.013435,-0.111111,-0.002745,0.023311,0.112394,0.007938,0.405085,1
2010-02-16,0.405085,150.000000,1094.869995,0.406690,150.000000,1095.670044,0.398208,120.000000,1079.130005,0.403022,120.000000,1079.130005,457024000,150,4080770000,0.018444,-0.062500,0.018001,0.023311,0.112394,0.007938,0.408982,1
2010-02-17,0.408982,178.000000,1099.510010,0.410358,178.000000,1101.030029,0.397291,154.000000,1094.719971,0.410129,154.000000,1096.140015,876560000,2,4259230000,0.009621,0.186667,0.004238,0.028275,0.076282,0.011424,0.382160,0
2010-02-18,0.382160,178.000000,1106.750000,0.388579,180.000000,1108.239990,0.371615,122.000000,1097.479980,0.386516,180.000000,1099.030029,1515508000,11,3878620000,-0.065583,0.000000,0.006585,0.030473,0.070267,0.011484,0.380097,0
2010-02-19,0.380097,170.000000,1109.170044,0.384682,180.000000,1112.420044,0.378263,130.000000,1100.800049,0.380555,180.000000,1105.489990,510548000,54,3944280000,-0.005399,-0.044944,0.002187,0.030417,0.067400,0.011495,0.380785,1
2010-02-22,0.380785,160.000000,1108.010010,0.387433,160.000000,1112.290039,0.378263,130.000000,1105.380005,0.381702,130.000000,1110.000000,458084000,10,3814440000,0.001810,-0.058824,-0.001046,0.030286,0.067869,0.011459,0.371615,0
2010-02-23,0.371615,160.000000,1094.599976,0.383536,160.000000,1108.579956,0.367717,130.000000,1092.180054,0.381931,130.000000,1107.489990,489764000,24,4521050000,-0.024082,0.000000,-0.012103,0.030505,0.067343,0.011613,0.379409,1
2010-02-24,0.379409,160.000000,1105.239990,0.383077,160.000000,1106.420044,0.373678,130.000000,1095.500000,0.374824,130.000000,1095.890015,445868000,8,4168360000,0.020975,0.000000,0.009720,0.030778,0.067187,0.011778,0.375970,0
2010-02-25,0.375970,160.000000,1102.939941,0.376887,160.000000,1103.500000,0.361298,160.000000,1086.020020,0.370698,160.000000,1101.239990,576972000,5,4521130000,-0.009063,0.000000,-0.002081,0.030244,0.066866,0.011678,0.371385,0
2010-02-26,0.371385,160.000000,1104.489990,0.376887,160.000000,1107.239990,0.369093,130.000000,1097.560059,0.374136,160.000000,1103.099976,393396000,29,3945190000,-0.012195,0.000000,0.001405,0.030151,0.066333,0.011556,0.386287,1
2010-03-01,0.386287,160.000000,1115.709961,0.388121,160.000000,1116.109985,0.368634,160.000000,1105.359985,0.371615,160.000000,1105.359985,555868000,1,3847640000,0.040123,0.000000,0.010159,0.031044,0.065485,0.011724,0.386057,0
2010-03-02,0.386057,134.000000,1118.310059,0.394540,134.000000,1123.459961,0.383306,130.000000,1116.510010,0.389725,130.000000,1117.010010,538648000,105,4134680000,-0.000593,-0.162500,0.002330,0.030576,0.071502,0.011585,0.381243,0
2010-03-03,0.381243,138.000000,1118.790039,0.390413,150.000000,1125.640015,0.378034,132.000000,1116.579956,0.388350,132.000000,1119.359985,399300000,106,3951320000,-0.012471,0.029851,0.000429,0.030445,0.071268,0.011326,0.381931,1
2010-03-04,0.381931,130.000000,1122.969971,0.385828,144.000000,1123.729980,0.377117,130.000000,1116.660034,0.382848,144.000000,1119.119995,557396000,180,3945010000,0.001804,-0.057971,0.003736,0.030444,0.070542,0.011203,0.393623,1
2010-03-05,0.393623,160.000000,1138.699951,0.396374,160.000000,1139.380005,0.379180,129.000000,1125.119995,0.379180,130.000000,1125.119995,632832000,242,4133000000,0.030612,0.230769,0.014007,0.030799,0.083332,0.010932,0.387891,0
2010-03-08,0.387891,160.000000,1138.500000,0.394998,164.000000,1141.050049,0.386287,14.400000,1136.770020,0.393852,14.400000,1138.400024,439312000,51,3774680000,-0.014560,0.000000,-0.000176,0.030219,0.082287,0.010049,0.402334,1
2010-03-09,0.402334,142.000000,1140.449951,0.406231,164.000000,1145.369995,0.391559,142.000000,1134.900024,0.391789,164.000000,1137.560059,830832000,45,5185570000,0.037234,-0.112500,0.001713,0.030800,0.084304,0.010031,0.403251,1
2010-03-10,0.403251,150.000000,1145.609985,0.407607,160.000000,1148.260010,0.400959,142.000000,1140.089966,0.401188,158.000000,1140.219971,418520000,119,5469120000,0.002279,0.056338,0.004525,0.030135,0.085010,0.009991,0.394081,0
2010-03-11,0.394081,158.000000,1150.239990,0.401417,164.000000,1150.239990,0.392476,16.000000,1138.989990,0.400042,164.000000,1143.959961,540660000,306,4669060000,-0.022740,0.053333,0.004042,0.030143,0.085765,0.009983,0.395457,1
2010-03-12,0.395457,160.000000,1149.989990,0.399583,160.000000,1153.410034,0.393393,120.000000,1146.969971,0.398437,120.000000,1151.709961,520352000,66,4928160000,0.003490,0.012658,-0.000217,0.029404,0.084669,0.009664,0.393393,0
2010-03-15,0.393393,150.000000,1150.510010,0.398895,160.000000,1150.979980,0.389725,150.000000,1141.449951,0.394998,158.000000,1148.530029,358904000,69,4164110000,-0.005217,-0.062500,0.000452,0.028131,0.083414,0.009409,0.407148,1
2010-03-16,0.407148,146.000000,1159.459961,0.409441,146.000000,1160.280029,0.392935,142.000000,1150.349976,0.393164,144.000000,1150.829956,664988000,119,4369770000,0.034965,-0.026667,0.007779,0.025305,0.083453,0.009198,0.414943,1
2010-03-17,0.414943,148.000000,1166.209961,0.420445,148.000000,1169.839966,0.409441,144.000000,1159.939941,0.409441,144.000000,1159.939941,651168000,118,4963200000,0.019144,0.013699,0.005822,0.025449,0.082711,0.008998,0.400271,0
2010-03-18,0.400271,144.000000,1165.829956,0.415631,148.000000,1167.770020,0.396603,122.000000,1161.160034,0.415631,148.000000,1166.130005,740964000,51,4234510000,-0.035359,-0.027027,-0.000326,0.026362,0.082487,0.008901,0.395457,0
2010-03-19,0.395457,140.000000,1159.900024,0.407378,140.000000,1169.199951,0.390413,122.000000,1155.329956,0.406231,122.000000,1166.680054,584612000,93,5212410000,-0.012028,-0.027778,-0.005086,0.024013,0.082535,0.006496,0.401876,1
2010-03-22,0.401876,132.000000,1165.810059,0.403480,146.000000,1167.819946,0.390413,130.000000,1152.880005,0.390413,146.000000,1157.250000,435336000,105,4261680000,0.016232,-0.057143,0.005095,0.023928,0.081795,0.006508,0.410129,1
2010-03-23,0.410129,130.000000,1174.170044,0.412192,136.000000,1174.719971,0.402105,130.000000,1163.829956,0.404856,133.000000,1166.469971,493612000,223,4411640000,0.020537,-0.015152,0.007171,0.024124,0.081783,0.006148,0.396374,0
2010-03-24,0.396374,123.000000,1167.719971,0.407836,123.000000,1173.040039,0.395686,122.000000,1166.010010,0.406690,122.000000,1172.699951,436252000,23,4705750000,-0.033539,-0.053846,-0.005493,0.024983,0.081571,0.006091,0.397520,1
2010-03-25,0.397520,120.000000,1165.729980,0.404627,138.000000,1180.689941,0.396603,120.000000,1165.089966,0.402105,123.000000,1170.030029,495184000,227,5668900000,0.002892,-0.024390,-0.001704,0.024787,0.077411,0.006077,0.397520,0
2010-03-26,0.397520,96.000000,1166.589966,0.405085,96.000000,1173.930054,0.394310,96.000000,1161.479980,0.400959,96.000000,1167.579956,344676000,1,4708420000,0.000000,-0.200000,0.000738,0.023380,0.083780,0.005953,0.402563,1
2010-03-29,0.402563,130.000000,1173.219971,0.403480,130.000000,1174.849976,0.394540,96.000000,1167.709961,0.400042,96.000000,1167.709961,394456000,6,4375580000,0.012687,0.354167,0.005683,0.023366,0.105961,0.005888,0.404168,1
2010-03-30,0.404168,128.000000,1173.270020,0.409212,138.000000,1177.829956,0.397291,100.000000,1168.920044,0.407148,138.000000,1173.750000,324104000,71,4085000000,0.003986,-0.015385,0.000043,0.023135,0.105379,0.005171,0.398895,0
2010-03-31,0.398895,102.000000,1169.430054,0.404397,130.000000,1174.560059,0.396832,100.000000,1165.770020,0.402563,130.000000,1171.750000,389840000,206,4484340000,-0.013046,-0.203125,-0.003273,0.023186,0.105561,0.005257,0.394769,0
2010-04-01,0.394769,100.000000,1178.099976,0.405314,108.000000,1181.430054,0.390642,80.000000,1170.689941,0.400729,100.000000,1171.229980,339664000,195,4006870000,-0.010345,-0.019608,0.007414,0.019790,0.105536,0.005283,0.400729,1
2010-04-05,0.400729,100.000000,1187.439941,0.401417,108.000000,1187.729980,0.396832,100.000000,1178.709961,0.397291,108.000000,1178.709961,413636000,24,3881620000,0.015098,0.000000,0.007928,0.019905,0.105400,0.005389,0.390872,0
2010-04-06,0.390872,100.000000,1189.439941,0.396603,104.000000,1191.800049,0.383994,100.000000,1182.770020,0.395686,100.000000,1186.010010,809260000,111,4086180000,-0.024600,0.000000,0.001684,0.020487,0.105054,0.005354,0.393393,1
2010-04-07,0.393393,100.000000,1182.449951,0.400042,120.000000,1189.599976,0.385140,100.000000,1177.250000,0.388350,120.000000,1188.229980,817468000,46,5101430000,0.006452,0.000000,-0.005877,0.019946,0.105054,0.004872,0.386974,0
